product_code,product_category,product_type,multiplication_factor,product_type_outcome
pp425,"Herbs, herbal teas & spices",Cuscuta seed (Cuscuta epithymum),1,
pp426,"Herbs, herbal teas & spices",Daisy flower (Bellis perennis),1,
pp427,"Herbs, herbal teas & spices",Damascus rose (Rosa damascena),1,
pp428,"Herbs, herbal teas & spices",Damiana (Turnera diffusa var. aphrodisiaca),1,
pp429,"Herbs, herbal teas & spices",Downy hemp nettle (Galeopsis segetum),1,
pp430,"Herbs, herbal teas & spices",Dwarf elder fruit (Sambucus ebulus),1,
pp431,"Herbs, herbal teas & spices",Dwarf mountain pine shoot ( Pinus mugo),1,
pp432,"Herbs, herbal teas & spices",Dyer’s broom flower (Genista tinctoria),1,
pp433,"Herbs, herbal teas & spices",Echinacea herb (Echinacea spec.),1,
pp434,"Herbs, herbal teas & spices",Echinacea root (Echinacea spec.),1,
pp435,"Herbs, herbal teas & spices",Elecampane (Inula helenium),1,
pp436,"Herbs, herbal teas & spices",Epazote Mexican Tea (Chenopodium ambrosioides),1,
pp437,"Herbs, herbal teas & spices",Eucalyptus (Eucalyptus species),1,
pp438,"Herbs, herbal teas & spices",Evening primrose (Oenothera biennis),1,
pp439,"Herbs, herbal teas & spices",Eyebright (Euphrasia officinalis),1,
pp440,"Herbs, herbal teas & spices",Feverfew (Tanacetum parthenium),1,
pp441,"Herbs, herbal teas & spices",Field horsetail (Equisetum arvense),1,
pp442,"Herbs, herbal teas & spices",Field poppy flower (Papaver rhoeas),1,
pp443,"Herbs, herbal teas & spices",Fir shoot (Abies spec.),1,
pp444,"Herbs, herbal teas & spices",Fragrant sumac bark (Rhus aromatica),1,
pp445,"Herbs, herbal teas & spices",Fumitory (Fumaria officinalis),1,
pp446,"Herbs, herbal teas & spices",Giloy root (Tinospora cordifolia),1,
pp447,"Herbs, herbal teas & spices",Giloy stem (Tinospora cordifolia),1,
pp448,"Herbs, herbal teas & spices",Ginkgo (Ginkgo biloba),1,
pp449,"Herbs, herbal teas & spices",Ginseng root (Panax ginseng),1,
pp450,"Herbs, herbal teas & spices",Goat's rue (Galega officinalis),1,
pp451,"Herbs, herbal teas & spices",Goji berry (Lycium barbarum),1,
pp452,"Herbs, herbal teas & spices",Golden root (Rhodiola rosea),1,
pp453,"Herbs, herbal teas & spices",Goldenrod (Solidago virgaurea),1,
pp454,"Herbs, herbal teas & spices",Grains of paradise (Aframomum melegueta),1,
pp455,"Herbs, herbal teas & spices",Great bougainvillea leaf (Bougainvillea spectabilis),1,
pp456,"Herbs, herbal teas & spices",Greek mountain tea (Sideritis spec.),1,
pp457,"Herbs, herbal teas & spices",Ground ivy (Glechoma hederacea),1,
pp458,"Herbs, herbal teas & spices",Guarana seed (Paullinia cupana),1,
pp459,"Herbs, herbal teas & spices","Gum arabica tree trunk sap (Acacia senegal, A. seyal)",1,
pp460,"Herbs, herbal teas & spices",Gymnema leaf (Gymnema silvestre),1,
pp461,"Herbs, herbal teas & spices",Hairy rupturewort (Herniaria hirsuta),1,
pp462,"Herbs, herbal teas & spices",Hawthorn (Crataegus species),1,
pp463,"Herbs, herbal teas & spices",Hazelnut leaf (Corylus avellana),1,
pp464,"Herbs, herbal teas & spices",Heartsease (Viola tricolor),1,
pp465,"Herbs, herbal teas & spices",Heather (Calluna vulgaris),1,
pp466,"Herbs, herbal teas & spices",Heather flower (Calluna vulgaris),1,
pp467,"Herbs, herbal teas & spices",Hemp (Cannabis sativa),1,
pp468,"Herbs, herbal teas & spices",Herb bennet (Geum urbanum),1,
pp469,"Herbs, herbal teas & spices",Herb bennet root (Geum urbanum),1,
pp470,"Herbs, herbal teas & spices",Herbal tea Not specified,1,
pp471,"Herbs, herbal teas & spices",Hollyhock flower (Althaea rosea),1,
pp472,"Herbs, herbal teas & spices",Holy thistle (Cnicus benedictus),1,
pp473,"Herbs, herbal teas & spices",Horehound (Marrubium vulgare),1,
pp474,"Herbs, herbal teas & spices",Horsechestnut bark (Aesculus hippocastanum),1,
pp475,"Herbs, herbal teas & spices",Horsechestnut flower (Aesculus hippocastanum),1,
pp476,"Herbs, herbal teas & spices",Horsechestnut leaf (Aesculus hippocastanum),1,
pp477,"Herbs, herbal teas & spices",Horseradish (Armoracia rusticana),1,
pp478,"Herbs, herbal teas & spices",Hyssop (Hyssopus officinalis),1,
pp479,"Herbs, herbal teas & spices",Iceland moss (Cetraria islandica),1,
pp480,"Herbs, herbal teas & spices",India echinacea leaf (Andrographis paniculata),1,
pp481,"Herbs, herbal teas & spices",India echinacea root (Andrographis paniculata),1,
pp482,"Herbs, herbal teas & spices",Indian ginseng (Withania somnifera),1,
pp483,"Herbs, herbal teas & spices",Indigo (Indigofera tinctoria),1,
pp484,"Herbs, herbal teas & spices",Iramusu Indian Sarasaparilla (Hemidesmus indicus),1,
pp485,"Herbs, herbal teas & spices",Ivy gourd (Coccinia indica),1,
pp486,"Herbs, herbal teas & spices",Japanese ginger (Zingiber mioga),1,
pp487,"Herbs, herbal teas & spices",Knotgrass (Polygonum aviculare),1,
pp488,"Herbs, herbal teas & spices",Lapacho bark (Tebebuia impetiginosa),1,
pp489,"Herbs, herbal teas & spices",Larkspur flower (Delphinium consolida),1,
pp490,"Herbs, herbal teas & spices",Lemon Balm,1,
pp491,"Herbs, herbal teas & spices",Lemon savory (Satureja biflora),1,
pp492,"Herbs, herbal teas & spices",Lemon verbena,1,
pp493,"Herbs, herbal teas & spices",Lignum vitae wood (Guajacum officinale),1,
pp494,"Herbs, herbal teas & spices","Linden flower (Tilia cordata, T.  platyphyllos)",1,
pp495,"Herbs, herbal teas & spices","Linden leaf (Tilia cordata, T. platyphyllos)",1,
pp496,"Herbs, herbal teas & spices",Love-lies-bleeding (Amaranthus caudatus),1,
pp497,"Herbs, herbal teas & spices",Madagascar periwinkle (Catharanthus roseus),1,
pp498,"Herbs, herbal teas & spices",Malabar tamarind/ Cambodge (Garcinia cambogia),1,
pp499,"Herbs, herbal teas & spices",Manna ash resin (Fraxinus ornus),1,
pp500,"Herbs, herbal teas & spices",Marshmallow leaf (Althaea officinalis),1,
pp501,"Herbs, herbal teas & spices",Marshmallow root (Althaea officinalis),1,
pp502,"Herbs, herbal teas & spices",Yerba Mate (llex paragariensis),1,
pp503,"Herbs, herbal teas & spices",Matico leaves (Aristeguietia glutinosa),1,
pp504,"Herbs, herbal teas & spices",Meadowsweet flower (Filipendula ulmaria),1,
pp505,"Herbs, herbal teas & spices",Meadowsweet herb (Filipendula ulmaria),1,
pp506,"Herbs, herbal teas & spices",Epazote (Mexican tea) (Chenopodium ambrosioides),1,
pp507,"Herbs, herbal teas & spices",Mexican Valerian root (Valeriana edulis),1,
pp508,"Herbs, herbal teas & spices",Milk Thistle (Silybum species),1,
pp509,"Herbs, herbal teas & spices",Mistletoe (Viscum album),1,
pp510,"Herbs, herbal teas & spices",Moldavian dragonhead (Dracocephalum moldavica),1,
pp511,"Herbs, herbal teas & spices",Moradilla (Alternanthera cericea),1,
pp512,"Herbs, herbal teas & spices",Moringa leaf (Moringa oleifera),1,
pp513,"Herbs, herbal teas & spices",Moringa seed (Moringa oleifera),1,
pp514,"Herbs, herbal teas & spices",Mountain pepper berries (Tasmannia species),1,
pp515,"Herbs, herbal teas & spices",Muelan (Muelenbeckia tamnifolia),1,
pp516,"Herbs, herbal teas & spices",Muña (Minthostachys mollis),1,
pp517,"Herbs, herbal teas & spices",Mustard seed (Sinapis and Brassica species),1,
pp518,"Herbs, herbal teas & spices",Nasturtium (Tropaeolum majus),1,
pp519,"Herbs, herbal teas & spices",Neem (Azadirachta indica),1,
pp520,"Herbs, herbal teas & spices",Norway spruce (Picea abies),1,
pp521,"Herbs, herbal teas & spices","Oats, green (Avena sativa)",1,
pp522,"Herbs, herbal teas & spices",Olive leaf (Olea europaea),1,
pp523,"Herbs, herbal teas & spices",Orange leaves (Citrus aurantium),1,
pp524,"Herbs, herbal teas & spices",Palmarosa / Rosha (Cymbopogon martinii),1,
pp525,"Herbs, herbal teas & spices",Papaya (Carica papaya),1,
pp526,"Herbs, herbal teas & spices",Patchouli leaf (Pogostemon cablin),1,
pp527,"Herbs, herbal teas & spices",Peony flower (Paeonia officinalis),1,
pp528,"Herbs, herbal teas & spices",Pimpernel herb (Pimpinella major),1,
pp529,"Herbs, herbal teas & spices",Pimpernel root (Pimpinella major),1,
pp530,"Herbs, herbal teas & spices","Plantain (Plantago psyllium, P. ovata, P. major)",1,
pp531,"Herbs, herbal teas & spices",Polpala (Aerva lanata),1,
pp532,"Herbs, herbal teas & spices",Poppy seed (Papaver somniferum),1,
pp533,"Herbs, herbal teas & spices",Poria fungus (Poria cocos),1,
pp534,"Herbs, herbal teas & spices",Primrose flower (Primula veris),1,
pp535,"Herbs, herbal teas & spices",Primrose root (Primula veris),1,
pp536,"Herbs, herbal teas & spices",Quassia wood (Quassia amara),1,
pp537,"Herbs, herbal teas & spices",Queen Anna Lace (Daucus carota),1,
pp538,"Herbs, herbal teas & spices",Rehmannia root (Rehmannia glutinosa),1,
pp539,"Herbs, herbal teas & spices",Rue (Ruta graveolens),1,
pp540,"Herbs, herbal teas & spices",Sacred lotus flower (Nelumbo nucifera),1,
pp541,"Herbs, herbal teas & spices",Sandy everlasting flower (Helichrysum arenarium),1,
pp542,"Herbs, herbal teas & spices",Sarsaparilla root (Smilax spec.),1,
pp543,"Herbs, herbal teas & spices",Sassafras leaves (Sassafras albidum),1,
pp544,"Herbs, herbal teas & spices",Satavar (Asparagus racemosus),1,
pp545,"Herbs, herbal teas & spices",Schisandra fruit (Schisandra chinensis),1,
pp546,"Herbs, herbal teas & spices",Seneca snakeroot root (Polygala senega),1,
pp547,"Herbs, herbal teas & spices",Shankhapushpi (Convolvulus pluricaulis),1,
pp548,"Herbs, herbal teas & spices",Shepherd's purse (Capsella bursa pastoris),1,
pp549,"Herbs, herbal teas & spices",Siberian ginseng root (Eleutherococcus senticosus),1,
pp550,"Herbs, herbal teas & spices","Sichuan pepper (Zanthoxylum piperitum, Z. simulans)",1,
pp551,"Herbs, herbal teas & spices","Silver lime flower (Tilia argentea, T.tomentosa)",1,
pp552,"Herbs, herbal teas & spices","Silver lime leaf (Tilia argentea, T.tomentosa)",1,
pp553,"Herbs, herbal teas & spices",Silverweed (Potentilla anserina),1,
pp554,"Herbs, herbal teas & spices",Sloe fruit (Prunus spinosa),1,
pp555,"Herbs, herbal teas & spices",Smooth rupturewort (Herniaria glabra),1,
pp556,"Herbs, herbal teas & spices",Soap-bark tree bark (Quillaja saponaria),1,
pp557,"Herbs, herbal teas & spices","Southernwood (Artemisia abrotanum, A. vulgaris)",1,
pp558,"Herbs, herbal teas & spices",Spirulina (Spirulina platensis),1,
pp559,"Herbs, herbal teas & spices",St. John´s Wort flower (Hypericum perforatum),1,
pp560,"Herbs, herbal teas & spices",St. John´s Wort herb (Hypericum perforatum),1,
pp561,"Herbs, herbal teas & spices",Stink weed/ long coriander (Eryngium foetidum),1,
pp562,"Herbs, herbal teas & spices",Stonebreaker (Phyllanthus niruri),1,
pp563,"Herbs, herbal teas & spices",Strawberry leaf (Fragaria ananassa),1,
pp564,"Herbs, herbal teas & spices",Sunflower petal (Helianthus annuus),1,
pp565,"Herbs, herbal teas & spices",Szechuan lovage rhizome (Ligusticum wallichii),1,
pp566,"Herbs, herbal teas & spices",Tamarind (Tamarindus indica),1,
pp567,"Herbs, herbal teas & spices",Teypat / Malabathrum (Cinnamomum tamala),1,
pp568,"Herbs, herbal teas & spices","Tigernut, earth almond tuber (Cyperus esculentus)",1,
pp569,"Herbs, herbal teas & spices",Toadflax (Linaria vulgaris),1,
pp570,"Herbs, herbal teas & spices",Tonka bean (Dipteryx odorata),1,
pp571,"Herbs, herbal teas & spices",Tormentil root (Potentilla tormentilla),1,
pp572,"Herbs, herbal teas & spices",Tree Mallow (Lavatera arborea),1,
pp573,"Herbs, herbal teas & spices",Tulsi (Ocimum tenuiflorum),1,
pp574,"Herbs, herbal teas & spices",Valerian (Valeriana decussata),1,
pp575,"Herbs, herbal teas & spices",Veldt grape (Cissus quadrangularis),1,
pp576,"Herbs, herbal teas & spices",Vervain (Verbena species),1,
pp577,"Herbs, herbal teas & spices",Vietnamese mint / Vietnamese coriander (Polygonum odoratum),1,
pp578,"Herbs, herbal teas & spices",Water hyssop (Bacopa monnieri),1,
pp579,"Herbs, herbal teas & spices",Water mint,1,
pp580,"Herbs, herbal teas & spices",Watercress (Nasturtium officinale),1,
pp581,"Herbs, herbal teas & spices",Wattle seed (Acacia victoriae),1,
pp582,"Herbs, herbal teas & spices",White atractylodes rhizome (Atractylodis macrocephalae),1,
pp583,"Herbs, herbal teas & spices",White deadnettle flower (Lamium album),1,
pp584,"Herbs, herbal teas & spices",White deadnettle herb (Lamium album),1,
pp585,"Herbs, herbal teas & spices",White ginger (Hedychium coronarium),1,
pp586,"Herbs, herbal teas & spices",White mulberry twig (Morus alba),1,
pp587,"Herbs, herbal teas & spices",White peony root (Paeonia alba),1,
pp588,"Herbs, herbal teas & spices",Willow herb (Epilobium angustifolium),1,
pp589,"Herbs, herbal teas & spices","Winter cress/ Yellow rocket (Barbarea vulgaris, B. verna)",1,
pp590,"Herbs, herbal teas & spices",Witch hazel bark (Hamamelis virginiana),1,
pp591,"Herbs, herbal teas & spices",Witch hazel leaf (Hamamelis virginiana),1,
pp592,"Herbs, herbal teas & spices",Wood betony (Betonica officinalis),1,
pp593,"Herbs, herbal teas & spices",Yarrow  flower (Achillea millefolium),1,
pp594,"Herbs, herbal teas & spices",Yarrow  herb (Achillea millefolium),1,
pp595,"Herbs, herbal teas & spices",Yellow bedstraw (Galium verum),1,
pp596,"Herbs, herbal teas & spices",Yellow gentian root (Gentiana lutea),1,
pp597,"Herbs, herbal teas & spices",Yerba Mate (llex paragariensis),1,
pp598,"Herbs, herbal teas & spices",Ylang-ylang (Cananga odorata),1,
pp604,Rice,Brazilian long grain,1,
pp605,Rice,Burmese aromatic long grain,1,
pp606,Rice,Cambodian aromatic long grain,1,
pp607,Rice,Giza,1,
pp608,Rice,Hsin Thu Kha,1,
pp609,Rice,Ma Naw Thu Kha,1,
pp610,Rice,Mandarin,1,
pp611,Rice,Non-Basmati and Non-Sarbati rice,1,
pp612,Rice,Non-Glutinous black,1,
pp613,Rice,Non-Glutinous red,1,
pp614,Rice,Paw San,1,
pp616,Rice,Shwe Thwe Lay,1,
pp617,Rice,Thai long grain,1,
pp618,Textile,Cotton,1,
pp619,Textile,Responsible fibres,1,
pp620,Vegetables,Green Beans,1,
pp621,Vegetables,Leaves of African nightshade,1,
pp622,Vegetables,Leaves of cowpeas (Vigna unguiculata),1,
pp623,Vegetables,Mallow-leaves of jute,1,
pp624,Vegetables,Pulses,1,
pp625,Wine grapes,Red Wine,0.00143,Tons of wine grapes
pp626,Wine grapes,White Wine,0.0016,Tons of wine grapes
pp627,"Herbs, herbal teas & spices",Arenga palm sugar/nectar,1,
pp628,Vegetables,Green peas (any edible Pisum),1,
pp629,Fresh fruit,Snake fruit,1,
pp630,Fresh fruit,Rambutan,1,
pp631,Fresh fruit,Langsat,1,
pp632,Fresh fruit,Mangosteen,1,
pp633,Oilseeds and Oleaginous fruit,Flaxseed,1,
pp634,Fresh fruit,Jackfruit,1,
pp635,Vegetables,Elephant garlic,1,
pp636,Cereals,Sorghum,1,
pp637,Oilseeds and Oleaginous fruit,Mahua seed,1,
pp638,Oilseeds and Oleaginous fruit,Sal seed,1,
pp639,Fresh fruit,Pomelo,1,
pp640,"Herbs, herbal teas & spices",Indian Frankincense,1,
pp641,"Herbs, herbal teas & spices",Carob bush,1,
